X,Y,Z,t
-0.024,-0.025,-0.049,9
0.046,0.011,-0.113,21
0.041,-0.024,-0.102,20
0.003,-0.056,-0.092,10
-0.031,-0.085,-0.048,20
-0.062,-0.076,0.025,10
-0.056,-0.034,0.057,20
-0.119,-0.065,0.155,10
-0.107,-0.024,0.139,20
-0.097,0.012,0.091,20
-0.121,0.011,0.047,10
-0.144,0.044,0.042,20
-0.198,0.04,0.038,10
-0.213,0.105,0.0,20
-0.157,0.163,-0.034,10
-0.107,0.147,-0.099,20
-0.096,0.097,-0.124,20
-0.086,0.088,-0.077,10
-0.043,0.079,-0.069,20
-0.004,0.036,-0.097,10
0.03,-0.001,-0.087,20
0.096,0.033,-0.078,21
0.12,-0.073,-0.036,9
0.177,-0.135,-0.067,20
0.159,-0.155,-0.06,10
0.143,-0.14,-0.019,19
0.095,-0.091,-0.052,11
0.016,-0.082,-0.047,20
0.014,0.029,0.026,19
-0.055,-0.077,0.092,11
-0.049,0.0,0.083,19
-0.044,0.033,0.006,11
-0.074,0.03,-0.063,19
-0.101,0.096,-0.16,11
-0.126,0.052,-0.006,22
-0.148,0.012,0.166,18
-0.098,-0.023,0.253,10
-0.123,-0.02,0.227,19
-0.076,0.015,0.17,11
-0.034,0.014,0.153,19
-0.03,-0.056,0.103,11
0.006,-0.05,0.093,19
0.04,-0.045,0.049,21
0.001,-0.075,0.044,10
0.001,-0.067,0.005,19
0.001,-0.026,-0.063,10
0.035,0.044,-0.126,20
-0.002,0.006,-0.148,21
-0.036,0.039,-0.064,9
-0.032,0.001,-0.023,21
-0.029,0.035,0.013,9
-0.026,-0.002,0.08,21
0.045,-0.002,0.038,9
0.109,-0.036,0.0,20
0.098,0.001,-0.068,20
0.123,-0.032,-0.062,11
0.041,-0.064,-0.09,20
0.106,0.045,-0.012,9
-0.007,0.006,0.023,20
-0.006,0.006,-0.013,11
0.028,0.005,-0.012,20
0.025,0.004,0.023,20
0.057,0.004,-0.082,10
0.051,0.038,-0.039,20
0.012,0.034,-0.07,9
-0.058,0.031,-0.097,21
-0.086,-0.006,-0.053,19
-0.043,0.063,-0.013,10
-0.039,0.091,0.056,14
-0.069,0.082,0.085,17
-0.028,0.073,0.042,20
0.043,0.032,-0.065,10
0.039,0.028,-0.093,20
0.0,0.025,-0.049,20
-0.033,-0.045,-0.009,10
-0.03,0.027,0.025,20
-0.027,0.094,-0.011,10
-0.024,0.05,-0.044,20
-0.056,0.045,0.028,10
-0.05,0.04,0.06,19
-0.011,-0.032,0.088,21
-0.01,-0.029,-0.058,9
-0.112,-0.095,-0.052,21
0.105,-0.016,-0.184,9
-0.077,0.191,-0.097,20
0.068,0.103,-0.018,21
-0.007,0.024,-0.016,9
-0.075,0.021,0.019,21
0.138,0.192,0.017,9
0.159,-0.24,0.05,20
0.074,-0.113,0.114,11
-0.002,0.173,0.137,19
-0.001,0.19,0.019,21
-0.036,0.137,-0.188,10
0.07,-0.014,-0.411,20
-0.108,-0.012,-0.335,9
0.419,-0.08,-0.026,21
0.48,-0.279,0.321,9
0.329,-0.458,0.151,21
0.02,-0.757,-0.105,20
-0.774,0.283,-0.405,10
-0.696,0.6,-0.847,19
0.958,-0.494,-1.59,11
-0.412,0.83,2.844,20
0.904,-0.631,-0.75,9
-0.013,-0.74,-1.261,21
-0.563,0.747,0.45,19
0.078,0.603,0.267,11
-0.067,0.232,-0.379,20
0.077,-0.1,0.279,10
0.586,0.116,0.595,20
0.493,-0.412,0.467,10
0.34,0.145,-0.303,19
0.479,0.441,-0.135,20
0.569,0.5,-0.052,10
0.581,0.381,-0.15,21
0.454,0.309,-0.204,10
-0.142,-0.79,-0.563,19
-0.473,-1.987,-0.265,11
0.332,0.142,1.794,19
0.747,1.196,0.684,20
0.5,0.18,0.512,10
0.139,-0.32,0.289,30
0.367,-0.115,0.398,20
0.261,-0.138,0.461,14
0.132,-0.159,0.243,17
0.567,-0.384,-0.022,20
0.475,-0.449,0.014,10
0.152,-0.37,-0.159,20
0.447,-0.333,-0.005,10
0.644,-0.127,-0.177,20
0.545,-0.149,-0.09,20
0.456,-0.237,-0.116,9
0.376,0.027,0.067,20
0.304,-0.285,0.164,10
0.17,-0.36,0.147,20
0.256,-0.496,0.202,10
0.368,-0.309,0.181,21
0.297,-0.243,0.129,20
0.164,-0.253,-0.09,10
0.078,-0.125,-0.15,20
-0.032,-0.112,-0.066,11
0.005,-0.204,-0.025,19
0.039,-0.149,0.011,10
0.0,-0.031,0.079,20
-0.102,0.075,0.037,20
-0.126,0.171,-0.035,10
-0.148,0.326,-0.1,20
-0.202,0.224,-0.09,9
-0.147,0.098,-0.081,21
-0.029,0.054,-0.108,32
0.007,0.049,-0.062,17
0.006,0.147,-0.022,11
0.006,0.167,-0.019,19
0.04,0.047,-0.017,11
0.07,-0.061,-0.085,19
0.063,-0.123,-0.076,20
0.057,-0.111,0.0,11
0.154,-0.065,0.034,19
0.173,-0.093,0.1,11
0.053,0.019,-0.116,19
0.22,0.086,-0.311,10
0.06,0.077,-0.28,20
-0.083,0.138,-0.149,21
-0.213,-0.013,-0.168,9
-0.088,-0.011,-0.048,20
-0.045,0.092,-0.009,10
-0.006,0.049,0.095,21
-0.04,0.044,-0.121,10
0.032,0.039,-0.109,20
0.064,0.035,0.039,19
-0.08,0.066,0.07,20
-0.175,-0.008,0.201,10
-0.123,0.026,0.146,10
-0.042,0.058,0.062,30
-0.003,0.121,-0.012,10
-0.003,0.04,-0.114,10
0.031,0.001,-0.103,21
0.062,-0.032,-0.092,9
0.022,0.004,-0.014,30
-0.049,0.004,0.021,21
-0.044,-0.03,0.053,19
-0.005,-0.027,0.117,11
-0.039,-0.093,0.071,20
0.0,-0.049,0.098,9
0.033,-0.01,-0.014,20
-0.004,0.059,-0.013,11
-0.003,0.019,-0.011,39
-0.037,-0.017,-0.045,12
0.0,-0.015,-0.04,18
0.0,-0.048,-0.002,10
-0.034,0.025,-0.036,21
0.038,0.022,0.001,10
0.068,0.055,-0.032,19
0.027,0.084,-0.064,20
0.059,-0.062,-0.092,11
0.018,-0.159,-0.014,19
0.051,-0.04,-0.012,10
0.046,0.067,0.023,40
0.041,0.095,0.02,10
0.003,0.051,-0.015,21
-0.031,-0.126,0.02,9
-0.063,-0.148,0.018,20
-0.056,-0.064,-0.052,11
0.017,0.045,0.021,19
