X,Y,Z,t
-0.344,4.102,7.895,0
-0.413,3.657,7.105,9
-0.303,3.326,6.326,20
-0.273,3.028,5.693,11
-0.314,2.656,5.193,19
-0.317,2.425,4.742,20
-0.285,2.217,4.199,11
-0.257,1.961,3.676,19
-0.231,1.765,3.274,10
-0.173,1.623,2.981,20
-0.087,1.391,2.717,20
-0.078,1.218,2.514,10
-0.07,1.061,2.332,21
-0.063,0.99,2.202,9
-0.091,0.856,1.947,21
-0.082,0.736,1.752,9
0.028,0.662,1.612,21
0.026,0.527,1.416,20
-0.011,0.474,1.274,9
0.024,0.427,1.112,21
-0.012,0.35,1.001,9
0.057,0.315,0.935,20
0.017,0.249,0.807,10
0.05,0.362,0.658,20
0.079,0.291,0.626,20
0.002,0.193,0.598,10
0.002,0.139,0.573,20
0.002,0.229,0.515,10
-0.032,0.068,0.498,20
0.005,0.164,0.448,10
0.073,0.079,0.403,21
0.031,0.036,0.329,29
0.097,0.067,0.296,30
0.087,0.095,0.197,20
0.113,0.085,0.143,20
0.033,0.042,0.163,10
-0.004,0.038,0.181,20
0.064,0.034,0.163,10
0.058,-0.037,0.181,20
0.087,-0.033,0.128,10
0.112,-0.03,0.116,20
0.067,0.006,0.069,20
0.025,0.006,0.062,10
-0.011,0.04,0.125,20
-0.01,0.036,0.147,10
-0.009,-0.001,0.098,20
0.026,-0.001,0.054,10
0.058,0.032,0.048,20
0.052,0.029,0.009,13
-0.021,-0.007,0.042,17
-0.054,-0.007,0.038,20
-0.014,0.028,0.069,10
0.021,0.025,0.062,20
0.053,-0.046,0.021,10
0.014,-0.041,0.122,20
-0.021,-0.037,0.11,20
-0.054,0.0,0.065,10
0.02,0.0,0.058,20
0.018,-0.033,0.087,11
0.016,-0.099,0.009,19
0.014,-0.054,-0.025,20
0.047,0.019,-0.126,10
0.077,0.017,-0.148,20
0.035,-0.018,-0.03,10
-0.002,-0.016,0.11,20
-0.036,-0.049,0.203,10
-0.033,-0.079,0.182,21
-0.029,-0.036,0.095,19
