pp;age;gender;hasKids;s1a;s1b;r1;s2a;s2b;r2;s3a;s3b;r3;s4a;s4b;r4
13;26;female;yes;6;14;7.52;9;2;2.46;8;13;0.51;11;3;7.5
14;44;female;yes;9;2;5;3;11;7.93;13;8;7.05;14;6;6.97
15;24;female;no;11;3;NA;13;8;8.69;2;9;10;14;6;10
16;53;female;no;11;3;NA;6;14;NA;8;13;NA;2;9;NA
17;32;female;no;12;4;10;10;1;9.41;5;16;0.01;15;7;10
18;31;female;no;2;9;8.37;6;14;8.1;8;13;8.09;11;3;NA
19;34;female;yes;8;13;0.1;11;3;NA;14;6;NA;2;9;0.1
20;37;female;yes;2;9;NA;3;11;0;14;6;NA;8;13;0.32
21;35;female;yes;6;14;2.6;3;11;NA;13;8;6.48;2;9;1.48
22;30;female;no;14;6;NA;13;8;NA;11;3;NA;9;2;NA
23;20;female;no;13;8;NA;2;9;5.24;11;3;4.96;14;6;NA
24;25;female;no;6;14;8.52;3;11;5.94;2;9;4.27;8;13;4.96
25;41;female;no;4;12;3.1;16;5;8.87;1;10;4.22;15;7;5.45
26;28;male;no;10;1;NA;7;15;1.37;5;16;NA;4;12;9.22
27;44;female;yes;13;8;6.59;14;6;NA;9;2;7.25;3;11;6.58
28;29;male;yes;14;6;4.95;11;3;4.96;9;2;5.02;8;13;5.37
29;19;female;no;12;4;0.87;5;16;NA;1;10;3.89;7;15;NA
30;20;female;no;1;10;0.2;7;15;NA;4;12;0.17;5;16;9.73
31;26;male;yes;8;13;0.08;2;9;9.9;6;14;2.37;11;3;3.12
32;52;female;yes;5;16;3.85;1;10;2.49;15;7;NA;12;4;8.98
33;33;male;no;16;5;3.71;7;15;9.52;12;4;9.4;1;10;7.81
34;25;female;no;11;3;0.99;6;14;NA;8;13;9.57;2;9;NA
35;32;female;no;7;15;NA;1;10;9.9;12;4;9.97;5;16;9.96
36;27;male;no;13;8;NA;11;3;6.98;2;9;2.89;14;6;7.61
37;18;male;no;10;1;9.19;12;4;NA;7;15;NA;16;5;9.36
38;25;male;yes;13;8;NA;11;3;NA;14;6;7.02;9;2;8.2
39;21;male;no;10;1;8;4;12;7.05;5;16;NA;7;15;1.03
40;20;male;no;4;12;0.07;5;16;0.09;15;7;9.86;1;10;0
41;46;female;yes;6;14;NA;11;3;NA;13;8;7.15;9;2;3.48
42;22;male;no;14;6;NA;11;3;NA;2;9;NA;8;13;NA
43;37;male;no;12;4;2.02;7;15;1.01;5;16;4.96;1;10;8.04
44;29;male;no;10;1;5.99;7;15;NA;4;12;1.77;16;5;0.04
45;45;male;yes;6;14;9.93;2;9;9.9;11;3;6;13;8;9.89
46;27;male;yes;14;6;0.87;3;11;NA;9;2;9.04;13;8;9.98
47;46;male;yes;3;11;NA;2;9;7.46;8;13;10;14;6;10
48;34;male;no;15;7;NA;4;12;NA;16;5;3.47;1;10;NA
49;24;male;no;7;15;NA;16;5;NA;10;1;7.77;4;12;3.28
50;35;male;yes;3;11;NA;2;9;5.01;6;14;9.68;13;8;NA
51;41;female;no;14;6;9.75;9;2;9.48;13;8;9.47;3;11;9.85
52;32;female;yes;1;10;NA;7;15;NA;12;4;6.46;16;5;8.19
53;35;male;yes;14;6;NA;13;8;NA;11;3;9.78;9;2;NA
54;32;female;yes;3;11;3.59;2;9;8.82;14;6;8.97;13;8;1.66
55;37;female;no;5;16;NA;12;4;NA;10;1;NA;7;15;NA
56;26;male;no;1;10;NA;5;16;NA;15;7;NA;12;4;6.9
57;37;female;yes;13;8;NA;11;3;NA;9;2;NA;6;14;NA
