pp;age;gender;hasKids;s1a;s1b;r1;s2a;s2b;r2;s3a;s3b;r3;s4a;s4b;r4
139;69;female;yes;16;5;NA;7;15;NA;12;4;10;10;1;9.87
140;40;female;yes;13;8;NA;11;3;7.95;6;14;8.57;9;2;8.07
141;29;male;no;5;16;NA;12;4;7.63;15;7;NA;10;1;8.12
142;32;female;yes;8;13;NA;2;9;9.23;11;3;NA;6;14;9.93
143;25;female;no;4;12;6.19;16;5;9.86;7;15;NA;1;10;0.19
144;29;female;yes;4;12;5.8;10;1;6.42;15;7;5.91;5;16;0.85
145;46;female;yes;15;7;8.3;1;10;1.35;12;4;8.61;16;5;8.64
146;37;male;yes;4;12;NA;16;5;8.71;7;15;0.29;10;1;7.15
147;32;male;no;7;15;NA;4;12;2.63;16;5;6.88;1;10;3.37
148;26;female;no;9;2;3.89;14;6;3.98;13;8;3.94;3;11;6.72
149;24;female;yes;11;3;2.51;9;2;NA;6;14;NA;8;13;7.97
150;32;female;no;7;15;NA;5;16;NA;1;10;8.55;12;4;0.42
151;26;female;yes;2;9;NA;13;8;8.09;6;14;7.24;3;11;7.68
152;35;male;no;14;6;2.78;9;2;3.58;11;3;NA;13;8;NA
153;19;female;no;11;3;6.92;9;2;8.5;14;6;8.63;13;8;10
154;51;male;no;13;8;2.9;3;11;NA;9;2;6.91;6;14;2.7
155;19;male;no;8;13;NA;11;3;10;2;9;0.15;14;6;NA
156;34;female;yes;6;14;NA;13;8;NA;11;3;4.99;9;2;NA
157;18;male;no;5;16;8.02;15;7;NA;1;10;0.07;12;4;7.44
158;50;female;no;4;12;10;1;10;9.85;16;5;5.01;15;7;9.96
159;25;male;no;14;6;1.47;2;9;6.18;3;11;0.03;13;8;0
160;29;female;no;5;16;9.03;7;15;0.25;4;12;9.85;1;10;6.04
161;39;female;yes;6;14;1.12;3;11;6.52;8;13;1.47;2;9;5.03
162;30;female;no;13;8;NA;9;2;NA;11;3;9.89;14;6;0.02
163;35;male;no;6;14;6.63;11;3;NA;8;13;4.99;9;2;6.42
164;28;male;no;3;11;NA;8;13;6.46;9;2;6.16;14;6;NA
165;19;male;no;8;13;NA;11;3;6.98;14;6;NA;2;9;2.51
166;48;male;yes;12;4;8.19;15;7;NA;16;5;8.28;1;10;2.18
167;54;female;yes;6;14;3.14;8;13;7.18;2;9;6.95;11;3;2.21
168;39;female;yes;6;14;3.69;2;9;NA;13;8;NA;11;3;4.69
169;30;female;yes;12;4;NA;15;7;9.91;10;1;8.3;5;16;1.21
170;45;male;yes;10;1;8.8;15;7;7.75;12;4;NA;16;5;9.29
171;27;female;yes;8;13;NA;6;14;NA;3;11;9.91;9;2;9.93
172;21;male;no;8;13;NA;11;3;NA;14;6;NA;2;9;NA
173;31;male;no;5;16;0.83;4;12;7.42;10;1;10;7;15;1.84
174;37;female;yes;12;4;8.49;7;15;1.48;5;16;1.48;1;10;2.93
175;34;male;yes;1;10;NA;4;12;NA;7;15;NA;16;5;NA
