Frnd,Priv,Saf,Ind,Res
45,49,58,44,164
148,15,54,61,82
67,65,71,68,89
85,65,77,80,53
63,83,72,69,73
89,54,95,36,86
66,58,68,85,83
108,92,30,77,53
75,66,70,74,75
62,120,82,42,54
6,156,26,8,164
40,103,71,67,79
88,58,71,66,77
66,51,95,68,80
66,51,95,68,80
58,85,80,65,72
77,69,68,91,55
23,105,35,91,106
32,62,100,108,58
74,83,60,62,81
68,68,67,72,85
64,81,64,78,73
65,85,88,28,94
18,40,114,41,147
66,54,77,82,81
297,7,22,20,14
65,63,82,63,87
30,67,92,64,107
80,70,102,46,62
52,107,62,63,76
171,17,60,81,31
84,80,77,78,41
102,55,72,78,53
86,94,75,79,26
85,72,80,110,13
32,87,46,100,95
40,108,36,101,75
61,48,116,49,86
82,92,54,96,36
30,84,64,85,97
69,87,65,80,59
69,56,98,67,70
93,47,69,79,72
9,198,6,138,9
37,71,102,54,96
102,29,108,32,89
7,62,54,71,166
93,51,29,101,86
85,77,67,63,68
69,86,62,75,68
69,86,62,75,68
24,46,127,86,77
28,115,18,89,110
71,138,28,97,26
66,72,53,95,74
92,9,126,8,125
25,122,39,144,30
33,102,38,102,85
53,103,44,83,77
127,16,65,100,52
7,52,25,221,55
33,47,91,55,134
139,19,34,14,154
81,17,132,15,115
66,105,29,101,59
59,88,50,80,83
43,211,18,28,60
25,10,9,8,308
46,85,66,76,87
5,64,58,57,176
50,77,43,90,100
20,128,69,60,83
99,11,87,85,78
85,45,124,35,71
82,78,66,80,54
59,65,62,65,109
115,38,57,80,70
91,44,73,65,87
41,26,112,74,107
9,65,8,138,140
87,41,79,81,72
120,57,55,57,71
87,104,33,112,24
56,76,102,55,71
57,36,109,27,131
77,46,80,84,73
101,49,90,94,26
50,95,14,114,87
122,31,69,69,69
13,77,94,93,83
57,64,83,83,73
91,71,77,31,90
78,65,54,84,79
79,74,62,68,77
76,112,122,26,24
19,106,85,137,13
66,86,42,112,54
109,71,39,63,78
78,66,80,76,60
57,48,72,101,82
104,51,63,79,63
79,85,70,57,69
32,35,100,95,98
28,129,25,69,109
41,81,105,50,83
62,77,70,81,70
83,69,68,75,65
44,39,57,120,100
200,23,64,28,45
38,48,69,94,111
69,61,78,86,66
57,59,81,72,91
37,78,117,37,91
75,42,123,38,82
80,70,67,57,86
45,127,32,125,31
88,80,45,83,64
84,72,69,89,46
80,67,73,57,83
9,97,8,121,125
126,34,93,62,45
62,59,66,72,101
97,55,72,105,31
31,79,82,74,94
87,74,82,83,34
59,59,75,56,111
87,64,72,96,41
91,90,69,44,66
54,74,64,75,93
11,157,47,54,91
68,48,85,82,77
83,66,120,75,16
73,85,84,83,35
35,51,132,67,75
66,66,57,88,83
88,69,122,18,63
63,72,47,76,102
30,66,76,73,115
96,22,42,104,96
158,8,39,50,105
58,141,9,85,67
52,92,64,108,44
103,21,41,129,66
95,64,87,33,81
9,133,13,135,70
41,92,49,89,89
44,74,79,65,98
47,90,56,77,90
79,68,59,62,92
42,89,57,61,111
28,18,114,34,166
34,52,57,67,150
44,110,52,79,75
76,84,62,80,58
139,28,59,75,59
75,86,53,65,81
97,43,91,55,74
103,61,61,59,76
86,14,127,38,95
87,62,90,59,62
29,65,130,19,117
41,34,113,83,89
8,75,74,69,134
43,98,57,88,74
88,58,76,52,86
84,37,82,98,59
69,78,73,87,53
61,71,128,22,78
127,5,63,84,81
60,74,92,70,64
6,9,137,99,109
76,84,49,92,59
75,57,83,35,110
62,74,81,65,78
63,83,63,68,83
74,56,90,56,84
96,25,97,44,98
78,68,69,74,71
22,76,94,74,94
70,55,83,67,85
73,69,70,77,71
26,62,67,107,98
102,73,35,94,56
87,65,78,65,65
66,69,81,80,64
99,75,39,97,50
5,100,6,5,244
67,81,84,82,46
48,67,72,64,109
85,29,107,43,96
79,85,48,113,35
75,26,108,34,117
87,48,98,46,81
116,27,65,79,73
71,82,76,69,62
