Frnd,Priv,Saf,Ind,Res
66,77,68,82,67
65,78,73,67,77
62,60,66,82,90
64,83,62,62,89
68,67,57,87,81
73,62,77,80,68
25,95,83,73,84
60,66,60,80,94
72,49,80,80,79
92,48,86,129,5
76,69,73,66,76
76,71,85,67,61
75,61,109,46,69
75,82,61,85,57
31,30,239,36,24
123,6,80,130,21
55,128,9,107,61
65,79,83,62,71
127,10,58,100,65
187,9,9,148,7
53,45,40,109,113
56,73,81,78,72
94,46,58,84,78
84,58,93,65,60
20,12,138,94,96
36,91,54,98,81
60,95,50,92,63
60,90,72,96,42
61,68,71,61,99
43,61,102,42,112
84,37,78,77,84
54,70,72,59,105
8,111,36,31,174
79,81,70,66,64
10,51,130,82,87
50,96,63,80,71
87,63,60,75,75
36,141,72,49,62
33,99,29,65,134
103,47,87,77,46
118,7,57,109,69
69,120,11,132,28
63,71,61,72,93
65,50,61,74,110
101,56,95,57,51
17,122,48,107,66
35,9,171,15,130
21,62,67,64,146
34,42,118,24,142
61,48,132,40,79
46,140,24,117,33
89,43,80,63,85
58,93,38,69,102
94,48,66,106,46
66,63,75,71,85
75,80,83,70,52
58,79,76,73,74
79,62,73,58,88
57,78,135,24,66
76,47,113,45,79
127,12,91,79,51
63,90,71,71,65
30,138,22,105,65
144,6,80,125,5
85,74,65,61,75
69,69,72,80,70
96,62,79,71,52
48,77,71,63,101
105,47,81,87,40
48,84,108,13,107
7,110,6,116,121
59,52,102,62,85
105,56,101,49,49
78,63,66,81,72
84,73,62,78,63
74,65,61,71,89
152,17,41,55,95
41,56,65,98,100
68,81,63,92,56
81,50,93,61,75
60,78,121,28,73
18,132,35,46,129
62,78,98,64,58
57,93,49,86,75
25,110,62,67,96
103,44,59,58,96
18,129,63,76,74
6,12,11,8,323
45,57,133,7,118
63,104,46,88,59
78,51,77,78,76
41,28,112,109,70
75,29,91,64,101
58,75,107,42,78
64,65,87,76,68
56,149,30,60,65
58,69,63,83,87
68,63,70,69,90
53,80,54,104,69
9,153,8,84,106
51,121,21,145,22
60,62,99,77,62
76,100,54,101,29
92,52,41,89,86
80,69,84,77,50
42,43,127,76,72
8,181,7,117,47
81,43,103,63,70
69,60,82,51,98
58,71,81,65,85
45,79,70,62,104
98,68,33,133,28
21,22,176,8,133
54,44,96,40,126
67,64,83,87,59
72,66,64,105,53
16,59,67,46,172
82,67,115,36,60
77,71,66,66,80
78,123,24,28,107
11,21,135,17,176
83,67,71,74,65
77,53,68,86,76
72,43,138,60,47
105,66,96,48,45
24,71,84,93,88
50,95,40,129,46
60,68,100,63,69
63,76,62,65,94
26,56,231,12,35
60,77,67,59,97
71,84,82,67,56
74,66,86,61,73
21,107,48,62,122
5,95,30,111,119
46,24,43,127,120
75,71,74,78,62
80,94,73,105,8
29,60,64,58,149
69,76,65,89,61
63,46,126,38,87
107,62,80,87,24
72,65,73,62,88
85,72,44,78,81
50,74,32,65,139
52,65,84,82,77
66,76,98,63,57
72,126,31,103,28
83,119,117,16,25
19,20,220,32,69
111,50,64,88,47
77,84,73,63,63
40,135,97,12,76
57,92,62,92,57
72,64,69,70,85
60,75,65,64,96
5,36,62,119,138
63,78,83,74,62
86,67,83,57,67
47,69,93,82,69
116,50,65,90,39
104,68,35,58,95
49,46,82,100,83
49,70,121,28,92
112,49,98,43,58
40,49,62,102,107
137,29,50,61,83
146,51,41,101,21
71,64,60,63,102
42,105,22,94,97
86,67,61,59,87
102,54,67,67,70
28,79,101,62,90
11,136,31,50,132
70,76,112,60,42
41,122,89,81,27
52,82,64,71,91
54,91,44,87,84
103,9,63,76,109
118,52,86,68,36
73,117,21,122,27
70,87,79,76,48
83,71,64,87,55
64,68,70,101,57
69,73,77,81,60
9,81,5,101,164
91,56,95,88,30
12,9,200,79,60
107,58,59,56,80
81,96,41,86,56
67,77,53,60,103
144,41,50,120,5
75,67,78,79,61
56,46,85,62,111
95,54,91,54,66
62,60,86,91,61
61,58,68,118,55
70,66,68,63,93
81,82,81,68,48
57,94,54,57,98
101,100,28,104,27
