Frnd,Priv,Saf,Ind,Res
5,127,5,85,138
69,124,57,45,65
204,12,91,8,45
30,101,35,79,115
113,45,115,26,61
51,81,146,5,77
129,21,83,14,113
70,78,81,80,51
61,86,61,87,65
61,86,61,87,65
12,130,57,93,68
96,11,149,72,32
146,6,112,37,59
74,88,40,105,53
92,90,125,8,45
111,98,73,19,59
85,70,107,63,35
56,44,77,102,81
33,112,79,63,73
8,17,171,29,135
73,56,94,37,100
92,120,38,74,36
20,18,48,28,246
68,53,78,53,108
91,49,77,59,84
29,24,173,36,98
6,141,197,7,9
55,52,80,77,96
75,58,85,137,5
44,65,101,58,92
53,66,107,63,71
92,84,96,23,65
36,137,12,85,90
68,60,84,82,66
167,24,46,91,32
14,125,21,122,78
59,90,60,93,58
6,132,13,108,101
12,9,172,104,63
78,86,68,22,106
166,61,25,57,51
114,34,63,117,32
37,95,64,79,85
71,39,74,57,119
162,71,13,91,23
93,25,94,108,40
79,78,59,83,61
70,144,26,53,67
9,126,10,116,99
66,76,84,63,71
71,32,99,37,121
94,52,67,94,53
80,74,84,81,41
123,28,61,55,93
83,45,39,176,17
97,46,86,91,40
84,84,64,92,36
72,85,71,62,70
66,50,89,90,65
86,69,73,86,46
80,85,84,84,27
27,201,22,21,89
95,39,94,39,93
58,110,29,113,50
73,55,91,73,68
77,46,74,67,96
29,59,134,76,62
63,94,41,121,41
32,111,22,78,117
52,49,66,112,81
78,107,52,68,55
75,54,82,76,73
38,74,73,71,104
76,79,78,81,46
88,23,110,38,101
77,71,62,98,52
57,60,63,89,91
66,64,81,62,87
69,14,153,7,117
74,32,76,91,87
82,38,93,82,65
51,108,67,52,82
154,27,87,53,39
73,63,69,74,81
59,51,87,68,95
86,40,73,99,62
64,82,71,58,85
59,66,91,48,96
36,51,121,57,95
69,59,81,63,88
107,29,73,46,105
67,65,75,72,81
24,99,55,60,122
75,79,61,61,84
124,18,37,29,152
59,74,85,80,62
89,55,92,47,77
127,9,41,53,130
58,101,107,63,31
140,9,87,87,37
138,12,75,86,49
50,71,75,42,122
298,18,16,14,14
280,38,30,6,6
15,43,114,122,66
59,71,73,97,60
84,44,81,47,104
93,47,67,79,74
59,61,95,72,73
113,24,96,11,116
46,52,93,94,75
44,57,94,87,78
16,72,68,125,79
87,82,64,98,29
62,85,65,64,84
130,53,27,107,43
71,91,70,81,47
6,186,10,26,132
86,77,82,78,37
29,78,70,78,105
16,105,6,98,135
8,62,85,106,99
56,60,88,60,96
97,81,43,76,63
53,103,96,48,60
98,52,87,49,74
27,62,67,70,134
162,23,65,37,73
61,77,75,87,60
7,67,9,9,268
94,37,81,65,83
70,83,80,76,51
73,84,76,87,40
87,75,59,80,59
61,72,85,57,85
85,62,82,79,52
37,96,62,72,93
98,52,45,81,84
32,80,57,82,109
32,56,77,57,138
58,62,84,57,99
41,89,37,130,63
81,82,37,58,102
58,77,57,73,95
124,19,86,97,34
7,25,164,9,155
78,97,57,84,44
79,54,55,93,79
95,56,35,83,91
138,21,61,28,112
28,94,25,129,84
37,8,90,70,155
104,39,38,82,97
58,48,81,83,90
