Frnd,Priv,Saf,Ind,Res
68,71,70,73,78
71,83,78,86,42
66,83,76,69,66
84,63,85,61,67
84,66,72,87,51
59,74,58,78,91
21,82,142,11,104
82,73,63,84,58
80,41,86,65,88
178,29,41,48,64
68,79,72,70,71
69,72,67,67,85
117,94,36,53,60
97,61,70,70,62
63,14,23,63,197
132,21,71,119,17
98,35,142,44,41
71,80,60,84,65
79,77,69,78,57
35,152,7,158,8
112,91,6,106,45
63,85,78,56,78
105,27,114,53,61
63,86,54,83,74
69,37,105,79,70
76,49,153,6,76
96,34,71,78,81
83,47,72,75,83
77,82,69,73,59
45,118,54,42,101
94,55,69,63,79
36,79,83,72,90
67,74,71,70,78
138,12,59,69,82
6,65,68,114,107
109,38,80,64,69
79,75,84,77,45
127,8,63,73,89
25,28,147,82,78
102,95,30,30,103
98,27,81,58,96
101,33,70,76,80
67,60,58,71,104
62,65,57,73,103
77,82,56,68,77
155,19,57,36,93
20,125,103,11,101
59,74,84,85,58
28,32,21,91,188
54,74,105,31,96
125,16,77,111,31
66,66,75,68,85
65,69,94,65,67
18,115,137,5,85
83,57,66,71,83
83,62,63,79,73
102,53,72,58,75
53,92,88,56,71
65,96,36,81,82
8,92,104,35,121
80,95,26,99,60
52,92,37,61,118
43,30,145,70,72
77,102,9,121,51
64,65,80,87,64
98,73,76,58,55
67,64,78,89,62
56,122,44,51,87
38,132,82,58,50
56,97,105,30,72
78,8,131,9,134
59,76,94,47,84
99,86,35,99,41
65,76,85,61,73
63,85,77,57,78
67,82,57,85,69
61,113,14,22,150
28,44,88,74,126
64,71,93,47,85
81,79,48,61,91
106,42,29,81,102
79,25,96,83,77
32,107,40,78,103
61,68,126,47,58
70,60,94,57,79
74,112,41,82,51
78,19,116,53,94
9,6,191,15,139
32,6,134,12,176
143,42,70,49,56
59,70,103,62,66
69,37,125,67,62
50,44,124,57,85
60,57,50,106,87
66,81,65,76,72
122,9,55,116,58
65,59,58,92,86
89,42,89,51,89
86,48,90,57,79
111,27,99,73,50
126,31,65,82,56
61,59,77,92,71
132,22,66,41,99
120,16,69,77,78
67,63,82,63,85
45,34,39,118,124
11,13,184,8,144
67,66,92,73,62
85,56,75,84,60
36,78,81,86,79
56,73,103,41,87
130,15,90,80,45
11,6,173,7,163
135,6,76,135,8
72,84,77,80,47
125,21,69,77,68
61,40,95,76,88
64,66,63,64,103
71,57,77,70,85
135,14,115,7,89
19,62,123,24,132
62,61,74,65,98
62,85,62,70,81
72,51,99,35,103
90,55,81,73,61
17,50,55,96,142
117,33,56,100,54
66,83,103,30,78
78,72,69,70,71
8,284,11,50,7
73,81,82,64,60
65,86,69,81,59
60,82,81,71,66
11,35,103,103,108
17,78,107,42,116
26,19,85,143,87
66,60,72,60,102
82,65,81,72,60
50,31,170,75,34
135,17,61,99,48
7,7,8,9,329
76,70,61,70,83
75,76,52,68,89
90,78,72,47,73
44,36,124,35,121
41,98,53,74,94
54,100,79,101,26
94,9,85,90,82
123,22,53,81,81
7,30,20,11,292
63,100,32,104,61
59,85,64,77,75
144,23,44,70,79
107,34,67,81,71
58,76,57,61,108
75,87,86,66,46
9,6,7,178,160
80,81,79,86,34
77,64,79,87,53
26,38,73,120,103
89,73,44,64,90
144,9,48,97,62
130,64,33,61,72
70,117,16,146,11
79,62,67,111,41
60,66,83,34,117
73,93,42,107,45
110,90,13,128,19
80,66,89,41,84
49,42,106,72,91
64,87,84,77,48
64,106,42,120,28
7,78,58,65,152
66,14,124,97,59
51,65,121,37,86
175,24,47,40,74
62,74,79,62,83
67,63,79,42,109
59,158,6,131,6
17,133,128,39,43
21,96,132,15,96
51,43,101,47,118
80,124,44,66,46
38,58,80,82,102
90,50,100,48,72
8,5,244,7,96
10,122,26,91,111
11,113,31,93,112
143,57,49,59,52
98,40,74,71,77
60,74,81,80,65
83,88,6,62,121
57,67,59,60,117
54,54,111,39,102
56,101,78,54,71
73,26,25,93,143
79,60,85,62,74
58,65,91,78,68
60,78,67,58,97
71,71,97,46,75
54,60,111,34,101
85,47,85,75,68
60,97,35,94,74
73,76,95,71,45
77,59,50,81,93
83,62,81,58,76
91,74,82,77,36
82,51,107,60,60
95,50,76,87,52
62,82,71,80,65
112,20,61,61,106
146,19,116,74,5
83,6,112,86,73
58,73,80,53,96
57,102,32,65,104
57,102,32,65,104
38,114,35,85,88
72,6,79,120,83
194,14,39,74,39
17,165,15,45,118
70,80,77,66,67
68,59,80,62,91
65,68,86,81,60
72,86,62,55,85
16,112,41,71,120
52,73,54,48,133
76,106,46,93,39
87,81,83,72,37
95,27,106,42,90
65,99,67,50,79
71,66,66,79,78
68,140,17,84,51
77,74,73,81,55
78,102,49,77,54
66,73,78,42,101
53,59,60,61,127
43,36,134,44,103
118,24,86,42,90
34,128,22,79,97
147,36,39,117,21
78,77,118,12,75
86,73,87,75,39
