Frnd,Priv,Saf,Ind,Res
75,77,57,77,74
64,73,73,67,83
77,64,67,81,71
68,70,57,58,107
74,65,76,69,76
57,80,68,70,85
43,130,23,93,71
57,59,83,75,86
87,60,73,63,77
129,46,37,89,59
62,63,53,93,89
78,100,24,132,26
71,78,73,64,74
100,65,70,63,62
8,334,5,8,5
66,72,78,76,68
82,35,36,51,156
61,60,66,76,97
67,57,77,79,80
145,9,12,75,119
196,31,38,78,17
97,44,61,78,80
90,59,88,55,68
59,96,65,79,61
29,93,26,109,103
13,27,49,101,170
94,30,71,70,95
58,72,68,84,78
64,76,77,60,83
45,122,41,94,58
67,79,65,57,92
58,57,88,59,98
69,53,107,27,104
84,107,64,78,27
84,7,103,87,79
74,91,44,77,74
76,67,60,78,79
122,41,48,89,60
11,90,25,98,136
18,76,106,78,82
106,21,61,75,97
36,89,52,64,119
47,68,77,52,116
72,86,72,79,51
92,48,83,47,90
154,24,51,102,29
17,183,17,129,14
86,66,69,77,62
36,69,92,85,78
61,81,39,87,92
142,6,52,129,31
94,46,47,82,91
90,66,65,80,59
117,24,67,79,73
79,77,59,58,87
58,59,57,81,105
88,50,75,57,90
86,64,57,76,77
54,83,80,67,76
13,28,115,8,196
91,123,107,6,33
67,77,57,57,102
6,6,158,7,183
146,8,62,135,9
62,81,70,67,80
72,73,93,60,62
84,109,80,33,54
82,62,46,84,86
72,79,60,67,82
53,68,105,20,114
36,7,163,6,148
64,93,80,77,46
78,52,73,62,95
68,67,73,68,84
86,81,61,83,49
61,64,68,64,103
22,225,10,63,40
39,47,65,84,125
79,93,44,78,66
90,48,88,56,78
42,92,102,15,109
11,135,31,9,174
69,129,62,38,62
99,32,64,84,81
61,62,117,34,86
106,54,50,80,70
69,7,92,85,107
7,8,7,40,298
84,134,7,72,63
43,78,83,45,111
49,90,67,60,94
70,69,93,40,88
69,77,127,20,67
48,84,94,73,61
51,65,81,87,76
158,6,76,79,41
63,66,59,71,101
85,64,63,62,86
28,46,75,80,131
109,7,91,94,59
78,76,135,17,54
95,57,90,72,46
182,8,76,60,34
99,20,69,60,112
68,63,79,80,70
54,131,37,69,69
7,123,9,115,106
74,81,63,62,80
52,90,83,36,99
58,75,72,62,93
80,57,59,73,91
137,37,61,85,40
10,93,21,227,9
125,100,7,119,9
69,65,72,60,94
148,6,75,62,69
71,59,76,69,85
60,75,59,85,81
71,63,68,85,73
10,251,9,10,80
26,122,38,59,115
78,84,83,67,48
76,62,81,82,59
51,42,123,41,103
76,57,67,60,100
12,10,160,65,113
54,54,123,71,58
58,37,128,43,94
71,87,61,66,75
85,71,81,78,45
76,65,82,87,50
84,57,84,66,69
79,66,60,85,70
13,46,121,48,132
111,23,119,22,85
89,62,52,107,50
77,65,65,69,84
37,58,65,84,116
36,26,164,35,99
68,63,62,83,84
27,33,150,30,120
84,69,67,68,72
44,82,87,63,84
83,74,79,58,66
95,53,107,42,63
41,113,55,70,81
75,52,78,49,106
122,28,71,89,50
82,121,31,99,27
15,207,14,48,76
88,112,40,75,45
81,81,61,85,52
156,23,26,94,61
92,39,82,69,78
83,69,59,62,87
67,77,84,65,67
13,168,9,154,16
63,68,61,84,84
76,75,80,74,55
78,82,40,67,93
55,84,72,74,75
51,9,95,54,151
95,104,39,66,56
132,28,33,130,37
114,40,73,83,50
26,60,96,35,143
105,56,63,91,45
138,9,75,132,6
53,78,79,79,71
52,54,97,76,81
65,73,87,80,55
94,58,55,46,107
59,74,115,5,107
10,39,40,99,172
71,82,67,111,29
227,9,22,22,80
69,77,61,59,94
71,87,97,36,69
55,114,83,5,103
83,74,87,66,50
24,45,48,64,179
44,43,109,49,115
124,70,58,69,39
69,61,101,71,58
113,31,60,77,79
9,9,325,9,8
49,90,113,88,20
43,14,133,55,115
99,34,53,83,91
92,54,78,68,68
69,83,56,65,87
58,105,99,7,91
82,61,87,49,81
37,28,122,37,136
90,33,68,63,106
68,159,24,52,57
36,72,67,77,108
59,62,61,82,96
61,82,57,66,94
40,61,68,71,120
58,92,73,26,111
32,89,65,95,79
64,120,47,80,49
57,71,68,68,96
114,24,49,97,76
33,128,46,54,99
92,55,85,66,62
76,79,81,78,46
77,63,31,61,128
64,59,59,86,92
135,17,70,105,33
8,134,118,94,6
87,26,91,57,99
81,73,62,77,67
68,87,118,32,55
68,87,118,32,55
9,102,22,94,133
30,128,28,121,53
141,19,60,93,47
52,39,120,110,39
66,69,80,75,70
74,85,86,68,47
66,65,61,84,84
78,60,68,63,91
52,116,33,73,86
53,40,73,65,129
203,11,61,8,77
82,83,70,70,55
25,167,38,37,93
55,129,40,62,74
97,62,60,57,84
134,35,73,68,50
58,84,82,68,68
85,103,55,70,47
66,48,90,78,78
66,59,89,49,97
39,49,143,61,68
118,50,74,49,69
25,115,20,69,131
155,30,31,115,29
26,76,74,75,109
71,79,63,60,87
19,103,32,74,132
110,22,87,73,68
87,110,6,115,42
44,84,55,91,86
109,44,83,30,94
55,96,37,67,105
109,59,44,62,86
69,81,61,64,85
83,84,67,97,29
83,84,67,97,29
12,102,33,66,147
41,102,9,80,128
75,124,9,143,9
82,86,68,72,52
136,6,66,69,83
62,96,47,72,83
7,132,7,85,129
56,54,81,77,92
38,115,90,65,52
8,91,29,34,198
70,76,91,63,60
180,39,24,20,97
13,27,86,9,225
109,40,67,74,70
86,27,136,40,71
49,202,7,94,8
76,75,64,136,9
59,62,81,82,76
31,57,71,82,119
32,83,49,86,110
54,53,134,42,77
87,50,53,97,73
11,106,55,67,121
49,82,66,77,86
88,88,29,72,83
134,12,62,83,69
67,83,47,84,79
7,132,7,111,103
14,68,128,8,142
58,84,39,108,71
99,34,62,53,112
96,34,87,37,106
32,138,23,62,105
60,96,41,110,53
133,5,80,80,62
89,63,82,86,40
65,69,85,77,64
40,27,42,136,115
5,77,57,119,102
57,81,71,79,72
80,43,64,89,84
91,78,46,82,63
65,87,86,64,58
106,119,28,61,46
12,9,146,37,156
56,108,110,39,47
79,65,37,100,79
71,74,72,75,68
71,71,71,70,77
71,77,68,61,83
79,63,73,65,80
16,91,82,100,71
58,61,97,53,91
14,126,18,86,116
74,52,84,75,75
101,29,66,73,91
22,49,54,131,104
269,6,15,12,58
58,59,64,79,100
34,70,71,120,65
53,78,68,64,97
58,91,50,116,45
42,72,47,63,136
74,59,73,77,77
92,95,31,116,26
70,69,81,62,78
78,62,76,71,73
67,67,59,71,96
72,43,42,76,127
97,46,56,117,44
75,79,61,62,83
123,21,75,87,54
104,34,72,82,68
59,87,80,63,71
84,58,76,76,66
82,85,62,94,37
83,64,68,66,79
25,85,80,81,89
35,170,49,48,58
62,61,89,78,70
47,135,30,109,39
86,81,57,85,51
22,83,52,99,104
73,71,85,79,52
69,97,26,137,31
40,69,131,76,44
70,85,86,35,84
39,113,42,82,84
165,23,24,80,68
5,8,218,85,44
53,117,32,90,68
20,143,14,160,23
30,138,25,76,91
100,26,64,90,80
8,96,27,104,125
87,107,37,56,73
91,62,87,62,58
78,51,75,58,98
36,204,44,39,37
9,126,47,71,107
75,70,47,94,74
57,67,98,46,92
62,86,61,57,94
179,47,95,14,25
84,68,70,61,77
105,64,62,73,56
91,72,43,75,79
10,17,20,71,242
58,74,79,64,85
67,55,58,77,103
26,84,89,83,78
8,73,61,91,127
58,88,55,88,71
72,81,80,80,47
85,75,67,67,66
88,83,60,34,95
70,116,43,69,62
106,56,59,83,56
51,84,76,77,72
10,6,6,7,331
56,91,49,84,80
71,59,78,72,80
70,77,84,60,69
81,84,64,84,47
58,82,77,81,62
84,75,44,89,68
76,74,77,68,65
164,70,28,62,36
57,64,103,49,87
57,72,85,80,66
73,68,82,62,75
111,108,80,31,30
91,70,52,69,78
63,68,59,68,102
71,119,41,65,64
25,7,196,6,126
63,87,81,79,50
52,89,62,85,72
57,94,39,96,74
247,22,26,33,32
45,39,104,57,115
112,7,95,58,88
162,15,33,72,78
64,91,46,100,59
