Frnd,Priv,Saf,Ind,Res
71,78,88,81,42
61,60,74,82,83
41,6,142,5,166
133,38,85,75,29
38,55,98,53,116
117,38,90,85,30
105,65,60,62,68
73,85,68,58,76
80,76,112,32,60
86,60,82,56,76
73,58,115,24,90
77,60,88,66,69
69,33,117,73,68
59,85,75,64,77
128,11,62,108,51
98,47,73,61,81
40,78,109,66,67
84,83,71,81,41
116,41,79,71,53
62,63,70,71,94
62,69,113,24,92
147,32,86,69,26
107,72,44,109,28
32,91,104,77,56
109,32,57,121,41
117,39,57,117,30
110,28,96,95,31
128,63,124,22,23
18,115,105,30,92
60,73,101,49,77
58,98,91,40,73
80,61,79,88,52
68,64,98,58,72
57,56,106,53,88
74,77,86,69,54
71,66,74,62,87
42,61,102,28,127
127,33,54,102,44
66,73,77,65,79
80,54,71,70,85
59,84,90,58,69
117,52,25,141,25
74,55,70,82,79
10,61,111,15,163
60,82,70,59,89
31,82,118,27,102
58,65,87,35,115
96,51,82,56,75
32,142,98,27,61
84,70,91,42,73
59,65,72,78,86
74,67,73,81,65
74,67,86,57,76
23,9,124,5,199
126,41,106,41,46
88,39,102,21,110
45,86,94,62,73
72,67,60,76,85
76,57,82,55,90
96,33,111,33,87
52,66,81,59,102
26,26,166,23,119
73,89,77,60,61
60,72,86,78,64
30,98,73,77,82
123,42,27,90,78
91,51,71,70,77
74,71,60,75,80
125,36,74,61,64
77,70,96,55,62
53,89,73,68,77
56,80,57,98,69
66,52,131,47,64
101,50,90,85,34
71,45,93,59,92
96,54,134,33,43
87,72,73,80,48
77,60,88,48,87
