Frnd,Priv,Saf,Ind,Res
83,85,82,67,43
59,67,76,78,80
87,81,86,64,42
82,76,67,58,77
66,71,68,81,74
63,67,60,84,86
19,69,127,30,115
25,110,55,82,88
78,64,52,85,81
68,89,44,121,38
74,77,50,94,65
97,41,60,72,90
80,63,42,116,59
89,53,75,80,63
289,7,5,32,27
110,36,77,107,30
67,111,78,58,46
62,81,85,69,63
80,60,62,83,75
68,141,8,135,8
79,102,33,92,54
61,88,65,65,81
53,115,90,75,27
92,36,85,71,76
47,29,201,41,42
84,62,89,71,54
34,114,42,101,69
80,75,82,72,51
78,79,76,72,55
90,35,102,60,73
77,70,87,66,60
52,84,79,70,75
49,62,52,100,97
138,8,75,56,83
7,142,8,112,91
88,56,72,78,66
78,57,87,64,74
26,136,81,47,70
66,53,119,43,79
9,37,14,168,132
105,11,57,76,111
84,99,28,88,61
84,70,79,83,44
70,84,84,64,58
74,87,96,24,79
62,164,25,23,86
127,49,25,82,77
27,71,58,69,135
50,71,57,83,99
70,58,95,42,95
46,133,24,120,37
39,113,39,66,103
65,94,45,116,40
59,84,47,101,69
75,87,69,58,71
58,80,58,69,95
55,47,71,98,89
91,84,55,61,69
110,95,10,81,64
39,37,142,49,93
129,8,99,42,82
74,86,87,66,47
82,73,82,71,52
9,68,141,5,137
105,62,68,79,46
73,65,82,69,71
103,32,67,73,85
51,104,47,85,73
115,12,50,150,33
39,87,47,107,80
5,135,7,137,76
86,59,76,72,67
74,76,66,63,81
59,86,72,72,71
73,68,59,60,100
60,63,74,83,80
228,14,34,12,72
43,50,84,85,98
93,45,74,63,85
72,72,48,87,81
77,76,77,67,63
15,58,79,39,169
52,58,105,33,112
62,63,65,109,61
35,120,75,61,69
95,79,42,83,61
32,5,71,142,110
30,39,66,90,135
122,5,61,76,96
113,50,68,61,68
54,53,103,75,75
48,86,94,62,70
20,54,84,120,82
52,59,72,82,95
71,68,63,74,84
111,34,84,66,65
83,77,67,67,66
79,65,70,86,60
77,68,117,34,64
9,115,7,150,79
111,29,90,71,59
64,69,85,56,86
30,185,19,80,46
62,113,134,15,36
86,85,65,66,58
30,32,143,77,78
38,22,127,23,150
82,62,59,59,98
31,72,34,105,118
45,31,165,81,38
46,76,98,68,72
46,115,76,93,30
185,9,23,133,10
106,13,84,103,54
78,67,59,57,99
154,9,61,87,49
64,13,132,77,74
84,70,71,74,61
59,61,75,68,97
7,7,265,6,75
20,60,125,13,142
64,89,58,68,81
60,97,64,64,75
39,73,130,33,85
60,95,104,35,66
84,20,61,90,105
15,93,15,110,127
71,117,39,108,25
60,64,79,77,80
69,74,86,83,48
64,58,67,77,94
82,78,68,71,61
53,83,72,68,84
6,107,84,83,80
6,8,9,7,330
120,37,53,112,38
81,73,76,83,47
68,70,64,101,57
57,117,29,85,72
101,40,65,88,66
15,29,134,25,157
59,67,86,37,111
64,75,59,81,81
72,64,86,71,67
50,92,80,57,81
65,64,85,64,82
16,32,84,79,149
82,68,49,125,36
139,15,110,41,55
34,41,86,149,50
116,25,62,106,51
78,59,71,85,67
104,103,18,60,75
51,100,56,87,66
81,85,87,83,24
76,77,61,69,77
12,7,122,9,210
60,84,63,66,87
71,75,58,74,82
72,30,93,83,82
86,53,63,68,90
65,111,68,6,110
100,22,39,109,90
57,102,42,126,33
96,117,10,86,51
40,82,38,100,100
95,85,59,61,60
60,22,147,25,106
98,47,50,89,76
76,70,57,87,70
85,79,79,60,57
79,115,58,68,40
61,96,47,58,98
77,29,120,64,70
38,80,101,50,91
27,138,152,13,30
80,52,86,59,83
31,92,81,90,66
86,82,59,66,67
70,65,61,71,93
60,73,71,45,111
35,125,27,36,137
72,75,60,61,92
45,79,61,70,105
77,64,79,84,56
7,129,7,5,212
35,112,30,60,123
5,20,11,61,263
95,72,31,43,119
97,47,86,60,70
72,76,86,77,49
114,5,72,78,91
67,60,61,71,101
48,31,67,70,144
97,25,92,53,93
47,16,143,99,55
75,82,58,90,55
76,91,66,63,64
60,85,73,72,70
58,56,106,39,101
9,117,13,109,112
83,80,80,74,43
187,5,24,75,69
75,71,59,88,67
84,72,33,77,94
79,64,87,87,43
83,114,102,19,42
58,83,77,62,80
41,126,11,79,103
86,79,75,68,52
116,11,74,73,86
10,214,5,37,94
80,97,35,78,70
77,66,76,68,73
70,110,34,78,68
70,110,34,78,68
57,78,82,60,83
125,94,24,96,21
112,66,49,82,51
11,115,39,21,174
87,60,61,83,69
61,62,74,75,88
66,79,76,87,52
63,59,72,81,85
80,36,89,81,74
87,78,63,85,47
85,137,8,92,38
72,58,71,66,93
40,48,111,27,134
27,62,129,25,117
78,50,89,52,91
65,148,37,73,37
59,60,61,80,100
80,59,69,68,84
42,101,47,86,84
89,37,77,61,96
32,44,92,118,74
80,71,107,40,62
15,72,127,51,95
76,107,15,139,23
71,83,135,17,54
87,81,60,63,69
69,47,79,65,100
141,26,62,22,109
126,35,126,5,68
33,55,121,60,91
104,35,103,35,83
58,69,138,8,87
129,35,98,29,69
80,72,76,58,74
91,74,57,76,62
91,74,57,76,62
44,44,162,41,69
98,8,121,63,70
203,49,17,27,64
102,87,35,110,26
7,152,58,83,60
102,41,54,90,73
26,31,111,102,90
57,62,62,65,114
53,125,27,93,62
18,67,101,77,97
84,37,110,36,93
96,72,107,35,50
10,169,30,40,111
69,124,35,103,29
32,89,49,82,108
19,5,201,14,121
96,76,28,85,75
37,90,52,95,86
8,85,57,82,128
70,53,80,85,72
40,114,66,56,84
107,32,58,95,68
89,117,57,89,8
84,71,79,79,47
97,42,60,88,73
74,117,21,133,15
66,75,81,79,59
89,27,132,25,87
13,64,10,130,143
73,66,65,75,81
40,83,105,32,100
63,112,41,103,41
47,62,92,59,100
97,47,61,97,58
70,113,84,51,42
68,72,65,86,69
65,75,82,75,63
137,31,59,91,42
7,74,57,130,92
87,60,69,77,67
67,99,64,85,45
71,78,59,88,64
75,58,60,71,96
130,77,28,76,49
5,91,13,103,148
123,44,62,63,68
79,64,41,95,81
82,63,70,65,80
41,52,87,79,101
69,58,70,75,88
86,84,82,62,46
30,92,26,92,120
40,90,32,111,87
94,46,60,71,89
78,58,73,64,87
73,65,52,57,113
40,69,64,118,69
186,102,7,43,22
64,109,17,74,96
81,103,61,80,35
59,85,70,65,81
50,36,104,48,122
75,63,107,43,72
84,58,67,57,94
168,18,80,39,55
75,87,72,59,67
72,61,75,82,70
83,72,63,64,78
76,27,146,5,106
105,27,69,47,112
72,87,70,61,70
59,61,71,86,83
53,106,58,78,65
83,73,76,75,53
80,59,65,97,59
86,51,90,68,65
87,43,98,66,66
50,87,77,31,115
55,63,130,29,83
31,82,82,90,75
125,48,45,95,47
70,83,72,82,53
77,36,114,61,72
68,76,70,63,83
112,26,42,112,68
8,83,62,86,121
22,72,76,85,105
141,19,56,109,35
64,93,56,85,62
7,142,5,123,83
107,27,66,62,98
126,33,43,127,31
132,31,28,110,59
100,71,122,52,15
51,71,102,54,82
76,52,122,60,50
84,81,61,85,49
77,73,58,65,87
46,48,88,88,90
5,8,167,5,175
72,60,84,74,70
32,87,42,87,112
18,62,143,77,60
53,147,96,13,51
85,90,64,75,46
117,49,80,59,55
88,51,70,78,73
6,190,9,12,143
75,79,81,69,56
37,49,119,41,114
5,131,6,107,111
57,59,107,43,94
44,85,112,48,71
94,40,72,61,93
56,67,66,75,96
96,38,80,65,81
64,62,138,26,70
8,50,140,8,154
85,81,109,55,30
9,7,42,6,296
91,61,81,48,79
36,76,88,59,101
82,75,77,71,55
60,73,76,78,73
67,62,61,62,108
94,66,68,76,56
49,78,72,75,86
95,67,60,67,71
57,60,71,91,81
47,72,86,62,93
15,64,67,57,157
150,77,27,30,76
88,57,67,64,84
54,66,77,74,89
63,79,57,108,53
7,89,8,7,249
77,58,60,79,86
93,47,55,82,83
69,52,98,46,95
107,31,93,42,87
26,91,42,67,134
102,8,47,77,126
129,19,49,59,104
77,61,60,79,83
