Frnd,Priv,Saf,Ind,Res
60,83,64,86,67
59,57,66,81,97
71,58,76,70,85
76,84,69,63,68
57,70,76,60,97
79,60,78,82,61
18,102,57,51,132
31,78,66,105,80
84,73,39,72,92
67,102,89,29,73
78,47,61,94,80
135,48,60,55,62
64,109,79,45,63
88,74,71,80,47
141,192,7,5,15
75,57,73,77,78
68,124,12,71,85
84,68,79,83,46
67,61,85,70,77
193,9,7,146,5
146,27,34,114,39
69,88,42,94,67
92,60,77,66,65
72,90,82,53,63
29,117,24,61,129
39,80,106,44,91
84,42,85,79,70
67,66,57,87,83
66,76,72,58,88
47,63,105,53,92
49,82,87,72,70
48,106,62,67,77
44,56,132,48,80
97,13,88,93,69
84,6,108,82,80
82,92,48,79,59
64,64,83,69,80
77,116,63,72,32
27,58,129,61,85
102,47,110,32,69
67,117,41,78,57
122,35,71,83,49
60,64,79,78,79
79,60,79,71,71
116,44,82,76,42
83,42,76,29,130
7,213,9,125,6
64,62,67,109,58
48,60,112,49,91
80,98,65,71,46
150,21,29,131,29
42,71,75,75,97
67,107,28,121,37
101,94,39,61,65
84,61,65,67,83
67,80,63,82,68
92,38,60,67,103
77,66,65,75,77
73,86,43,103,55
73,58,150,59,20
92,127,8,127,6
62,67,85,61,85
8,7,20,27,298
135,8,7,138,72
103,24,97,60,76
70,86,79,76,49
111,50,69,80,50
76,98,44,83,59
102,46,63,79,70
67,75,103,34,81
12,8,155,8,177
101,57,64,78,60
100,51,87,82,40
85,85,69,85,36
82,68,76,60,74
70,68,72,63,87
50,159,12,75,64
28,66,103,75,88
103,35,84,75,63
18,58,75,79,130
81,82,59,86,52
17,124,20,69,130
31,37,133,18,141
94,36,62,106,62
55,72,107,56,70
122,38,33,65,102
5,77,5,87,186
50,5,129,38,138
51,129,9,62,109
78,80,72,73,57
41,78,87,70,84
61,85,113,16,85
45,70,120,5,120
43,60,87,84,86
75,64,73,104,44
117,9,101,24,109
70,73,85,68,64
103,54,64,67,72
62,79,73,62,84
8,142,9,6,195
150,19,50,69,72
70,57,99,88,46
208,32,81,18,21
78,114,25,61,82
62,69,63,86,80
45,36,133,97,49
34,24,123,25,154
77,64,62,58,99
76,75,80,75,54
46,87,80,80,67
55,78,61,70,96
60,107,71,66,56
9,93,5,245,8
50,100,106,5,99
65,67,69,57,102
62,67,82,49,100
74,72,63,80,71
82,72,65,86,55
57,59,83,76,85
6,165,6,6,177
12,79,84,71,114
57,83,65,76,79
70,65,78,87,60
91,40,101,62,66
80,62,72,69,77
23,16,187,25,109
72,22,92,54,120
52,78,92,42,96
80,81,64,86,49
82,71,77,80,50
58,66,75,75,86
77,57,86,63,77
46,92,60,91,71
15,120,42,76,107
133,29,109,59,30
45,50,138,24,103
