Frnd,Priv,Saf,Ind,Res
69,52,87,69,83
86,61,85,81,47
39,5,197,7,112
129,35,73,87,36
71,83,104,58,44
114,35,85,68,58
117,54,62,57,70
59,74,75,82,70
69,71,106,51,63
58,64,114,71,53
56,87,104,29,84
43,64,101,67,85
40,50,179,34,57
66,69,89,73,63
157,79,26,66,32
83,105,69,28,75
39,69,112,72,68
74,83,76,51,76
140,19,32,122,47
58,36,134,51,81
75,53,106,38,88
197,12,58,64,29
141,22,29,112,56
49,91,106,54,60
134,54,55,81,36
108,48,45,92,67
64,153,42,48,53
147,26,152,19,16
58,87,98,42,75
77,85,72,75,51
80,66,70,75,69
67,64,82,89,58
64,41,105,44,106
48,58,96,53,105
67,61,84,82,66
97,35,82,77,69
37,74,98,81,70
152,22,33,113,40
82,74,86,66,52
118,41,80,60,61
84,38,78,70,90
5,78,156,42,79
87,69,84,78,42
34,37,123,19,147
80,85,93,31,71
37,73,77,71,102
62,62,88,46,102
71,77,83,65,64
43,132,107,36,42
75,65,99,45,76
35,70,100,29,126
80,74,77,68,61
75,61,84,63,77
12,7,127,10,204
93,47,68,68,84
70,66,80,59,85
62,62,81,75,80
80,81,81,62,56
63,63,65,61,108
105,34,116,74,31
75,66,82,68,69
164,21,27,124,24
56,80,69,89,66
83,68,62,76,71
89,61,89,73,48
52,84,102,49,73
88,52,79,61,80
87,62,76,67,68
123,23,81,76,57
38,63,139,35,85
61,80,68,72,79
74,70,76,71,69
53,42,127,53,85
116,51,44,97,52
79,44,82,57,98
116,13,123,5,103
68,76,82,55,79
69,71,76,70,74
