"pp" "gender" "hasKids" "userPref" "prediction.before" "prediction.after" "prediction.avg" "role" "userPref01" "prediction.before01" "prediction.after01" "prediction.avg1"
"109" 28 "male" "yes" -0.0499999999999998 -2.72999152452562 19.4439526720495 25.4249090101914 "parent" 0 0 1 1
"110" 28 "male" "yes" -0.04 9.20959644511439 4.24488488427551 -0.0319311615121691 "parent" 0 1 1 0
"111" 28 "male" "yes" 0.0199999999999996 -33.8569445309594 -4.77907212748191 -20.9786601913868 "parent" 1 0 0 0
"112" 28 "male" "yes" 0.37 -3.79201671762165 -8.17903275386744 0.0556414990740137 "child" 1 0 0 1
"113" 29 "female" "no" -4.13 -5.53688718608724 34.4819974072532 9.38710781409927 "child" 0 0 1 1
"115" 29 "female" "no" -1.11 7.88883922926431 -25.529217822937 0.934941360909185 "parent" 0 1 0 1
"117" 30 "female" "no" -4.8 -1.83273333153338 -62.0964793859353 -34.2732546200744 "child" 0 0 0 0
"119" 30 "female" "no" -4.83 -19.9272725507294 -49.5983309291681 -41.7092430402893 "child" 0 0 0 0
"120" 30 "female" "no" 4.73 -19.0456884871473 -52.5962894050907 -39.3682436335052 "parent" 1 0 0 0
"121" 31 "male" "yes" -4.92 -2.38196142589238 10.8476856061211 14.2556902625879 "parent" 0 0 1 1
"122" 31 "male" "yes" 4.9 -14.0119757668816 -3.08497536314231 -17.7520218801832 "parent" 1 0 0 0
"123" 31 "male" "yes" -2.63 -10.5907424109728 36.5924615796185 -17.6897243857552 "child" 0 0 1 0
"124" 31 "male" "yes" -1.88 20.699207223417 6.33994488147347 14.0910554274572 "parent" 0 1 1 1
"125" 32 "female" "yes" -1.15 14.8786753047722 20.2269768339074 15.7874599786764 "child" 0 1 1 1
"126" 32 "female" "yes" -2.51 -18.0208288141719 -4.99454706083645 5.68933617477837 "parent" 0 0 0 1
"128" 32 "female" "yes" 3.98 14.2752724698006 -2.15716840178066 -24.8220432952051 "parent" 1 1 0 0
"129" 33 "male" "no" -1.29 72.8916826709169 66.0045535528605 93.5505830076932 "child" 0 1 1 1
"130" 33 "male" "no" 4.52 -40.451961396012 -34.5989343358053 -33.7649308694153 "parent" 1 0 0 0
"131" 33 "male" "no" 4.4 44.4677877549887 40.4209781461125 12.7757795468962 "parent" 1 1 1 1
"132" 33 "male" "no" 2.81 -11.5920761102005 9.8442178900934 21.346563381771 "parent" 1 0 1 1
"133" 34 "female" "no" -4.01 -25.7858319478878 24.3799777722041 6.43983192093893 "child" 0 0 1 1
"135" 34 "female" "no" 4.57 -16.0235869111591 -55.7986241702785 -39.17609720527 "parent" 1 0 0 0
"138" 35 "female" "no" 4.9 -75.1727055765321 -43.4082068636326 -29.7346799682841 "child" 1 0 0 0
"139" 35 "female" "no" 4.97 105.117795068944 32.21069932473 49.2327822301899 "child" 1 1 1 1
"140" 35 "female" "no" 4.96 -107.873753015351 -34.514445203365 -50.3194583114812 "child" 1 0 0 0
"142" 36 "male" "no" 1.98 -3.57798559469791 -17.0721886856728 4.07213949110798 "child" 1 0 0 1
"143" 36 "male" "no" -2.11 -14.942731574571 -29.0628629267409 -28.6143658250923 "parent" 0 0 0 0
"144" 36 "male" "no" 2.61 11.1367340664943 3.03196195283951 0.485212525864966 "parent" 1 1 1 1
"145" 37 "male" "no" 4.19 -18.1713290182878 -9.40907044819761 -7.78246631057613 "parent" 1 0 0 0
"148" 37 "male" "no" 4.36 -31.5108766804837 -34.4408159031783 -31.2586662465395 "child" 1 0 0 0
"151" 38 "male" "yes" 2.02 127.369826086224 143.306989616881 93.8692616495107 "child" 1 1 1 1
"152" 38 "male" "yes" 3.2 52.7816056021669 76.5977983676487 72.932523294692 "child" 1 1 1 1
"153" 39 "male" "no" 3 7.73788783453639 -8.81940066364167 -42.053421425599 "child" 1 1 0 0
"154" 39 "male" "no" 2.05 -0.0413847246313424 7.79225928500664 34.1326536229089 "child" 1 0 1 1
"156" 39 "male" "no" -3.97 -51.6091152340198 -39.0306160166953 -3.6611678852009 "child" 0 0 0 0
"157" 40 "male" "no" -4.93 -10.358889475365 -28.967952408968 -33.4029675848646 "parent" 0 0 0 0
"158" 40 "male" "no" -4.91 31.7646185426356 -14.1791131016865 8.02017230087029 "parent" 0 1 0 1
"159" 40 "male" "no" 4.86 97.6085055048616 104.989424298019 96.4718913218817 "child" 1 1 1 1
"160" 40 "male" "no" -5 -32.1959434362637 -75.3222760190663 -43.4870713337516 "parent" 0 0 0 0
"163" 41 "female" "yes" 2.15 12.9513425370369 15.5288663276284 14.5556777227287 "child" 1 1 1 1
"164" 41 "female" "yes" -1.52 96.5213039531229 81.8339527971134 83.4501087657877 "child" 0 1 1 1
"169" 43 "male" "no" -2.98 -12.8361253322489 -9.14466915652892 -11.5290290227997 "parent" 0 0 0 0
"170" 43 "male" "no" -3.99 1.11481638845714 -36.7463677104178 -29.0789097837125 "parent" 0 1 0 0
"171" 43 "male" "no" -0.04 0.813606689966271 -72.1464935473291 -41.1420679566386 "child" 0 1 0 0
"172" 43 "male" "no" 3.04 -11.6940019143796 1.2742859435162 0.718463903466539 "child" 1 0 1 1
"173" 44 "male" "no" 0.99 0.216790474719165 9.27107619164165 9.232145154042 "parent" 1 1 1 1
"175" 44 "male" "no" -3.23 -8.23360924756229 -12.6975244763173 -14.1214663395849 "parent" 0 0 0 0
"176" 44 "male" "no" -4.96 -17.8922361401527 7.53300359249879 2.5347749039932 "child" 0 0 1 1
"177" 45 "male" "yes" 4.93 -33.4826066596812 -26.1626725065566 -40.3320654906721 "parent" 1 0 0 0
"178" 45 "male" "yes" 4.9 -59.7197953313639 -66.2376782251026 -62.1139931692608 "parent" 1 0 0 0
"179" 45 "male" "yes" 1 26.0913510221159 38.3902106806456 31.2125679750733 "child" 1 1 1 1
"180" 45 "male" "yes" 4.89 -1.34201937924064 6.54800800791659 -19.3655957629045 "child" 1 0 1 0
"181" 46 "male" "yes" -4.13 64.0368955380677 144.71432657878 104.023310351313 "parent" 0 1 1 1
"183" 46 "male" "yes" 4.04 43.9311310177993 119.440747268056 93.0298095231592 "child" 1 1 1 1
"184" 46 "male" "yes" 4.98 -26.7765755083272 45.9826579583085 14.1681670484533 "parent" 1 0 1 1
"186" 47 "male" "yes" 2.46 -193.694362025354 -168.143583904865 -165.345678781392 "parent" 1 0 0 0
"187" 47 "male" "yes" 5 -89.3385840313336 -132.611909384053 -113.978460077427 "parent" 1 0 0 0
"188" 47 "male" "yes" 5 109.190705788081 139.766078094654 114.495512479106 "parent" 1 1 1 1
"191" 48 "male" "no" -1.53 -93.5346275958229 -3.60331010368964 -13.8364377711393 "child" 0 0 0 0
"195" 49 "male" "no" 2.77 9.23596396286915 -2.83765419523975 -10.0686274298434 "child" 1 1 0 0
"196" 49 "male" "no" -1.72 -77.5716207495139 -73.324300531731 -38.7378560686242 "parent" 0 0 0 0
"198" 50 "male" "yes" 0.00999999999999979 -44.1897054254514 -41.9433588250133 -38.3554517629037 "child" 1 0 0 0
"199" 50 "male" "yes" 4.68 -71.2316243320746 -68.6225371440123 -63.612948032611 "child" 1 0 0 0
