Frnd,Priv,Saf,Ind,Res
70,69,59,86,76
87,79,60,76,58
78,53,70,64,95
81,59,68,80,72
73,83,63,82,59
72,61,62,65,100
31,62,98,40,129
55,57,95,52,101
97,66,56,65,76
116,45,55,97,47
76,58,81,64,81
86,85,57,121,11
67,103,6,113,71
82,68,83,64,63
10,324,8,9,9
77,60,117,57,49
94,116,14,75,61
68,60,61,75,96
84,129,54,33,60
118,9,6,91,136
124,22,34,36,144
54,80,86,81,59
105,34,70,50,101
103,50,80,55,72
18,115,16,48,163
51,74,100,86,49
49,90,46,90,85
67,81,61,63,88
79,71,72,82,56
53,42,119,47,99
97,63,57,61,82
47,68,83,71,91
37,92,115,51,65
127,13,63,42,115
5,48,113,103,91
81,79,124,28,48
81,63,72,59,85
14,73,100,37,136
77,26,111,40,106
175,29,104,19,33
75,95,95,18,77
132,9,114,7,98
79,62,72,76,71
75,65,75,68,77
97,52,61,75,75
134,9,97,48,72
84,51,93,51,81
58,83,114,15,90
32,27,58,66,177
62,73,97,41,87
65,140,22,111,22
61,61,59,70,109
32,81,73,91,83
152,24,28,106,50
79,74,62,63,82
73,87,65,57,78
94,44,63,71,88
85,50,80,63,82
51,66,93,29,121
95,16,130,29,90
69,96,68,69,58
57,79,67,61,96
8,5,8,175,164
141,6,60,145,8
101,40,100,78,41
68,68,83,75,66
108,31,90,46,85
97,62,68,62,71
45,54,100,38,123
49,79,130,36,66
8,121,8,127,96
69,58,77,65,91
66,64,106,59,65
75,78,62,57,88
68,73,77,76,66
88,56,57,71,88
59,32,39,17,213
23,38,96,84,119
75,54,55,82,94
72,28,73,60,127
139,5,62,92,62
85,41,77,66,91
62,72,93,38,95
80,23,87,81,89
33,143,40,52,92
89,86,30,88,67
7,141,9,82,121
63,9,162,88,38
46,130,7,76,101
57,86,70,100,47
47,61,76,85,91
70,51,114,46,79
30,19,46,110,155
55,60,76,68,101
69,72,46,58,115
42,130,33,59,96
83,74,68,60,75
69,69,106,46,70
33,98,48,104,77
12,149,63,29,107
196,17,41,69,37
88,50,105,33,84
55,115,34,119,37
61,62,51,115,71
84,79,64,85,48
32,30,70,125,103
12,7,209,7,125
68,57,86,65,84
63,54,109,51,83
57,37,81,92,93
64,60,101,56,79
43,98,125,47,47
77,46,97,70,70
54,45,112,65,84
60,74,85,58,83
73,49,91,59,88
27,35,67,49,182
66,75,55,85,79
65,82,61,86,66
76,104,9,114,57
17,50,126,38,129
59,65,66,64,106
84,80,85,63,48
70,57,97,27,109
84,52,68,103,53
44,37,109,55,115
17,131,41,15,156
56,42,122,52,88
58,72,68,68,94
76,58,84,73,69
76,80,83,75,46
84,68,63,85,60
54,106,48,70,82
41,110,27,71,111
7,7,7,7,332
36,34,57,129,104
57,73,59,87,84
5,87,84,79,105
43,41,100,84,92
80,64,95,68,53
17,228,14,17,84
89,67,75,58,71
38,82,68,80,92
80,73,51,76,80
48,46,112,46,108
42,102,59,71,86
31,36,118,72,103
102,70,38,116,34
66,110,54,103,27
97,49,26,108,80
98,77,46,71,68
58,87,58,80,77
109,105,21,46,79
88,49,95,59,69
64,83,57,47,109
62,76,83,77,62
37,40,53,38,192
68,75,60,81,76
64,70,74,86,66
53,64,93,78,72
90,56,85,81,48
52,156,17,75,60
74,84,118,29,55
199,23,35,84,19
60,74,125,26,75
72,85,62,101,40
212,22,27,29,70
76,7,75,69,133
26,67,71,94,102
34,72,112,51,91
