Frnd,Priv,Saf,Ind,Res
88,70,67,71,64
85,84,70,57,64
66,71,61,78,84
57,72,83,79,69
72,57,77,57,97
67,67,73,60,93
5,86,135,27,107
23,59,85,92,101
57,49,118,89,47
87,92,52,112,17
5,47,101,91,116
53,124,83,49,51
125,17,74,57,87
64,80,94,54,68
238,9,29,70,14
77,69,75,75,64
118,38,130,38,36
72,77,76,84,51
64,74,60,84,78
7,75,138,6,134
44,127,106,29,54
96,76,61,85,42
80,121,92,47,20
68,64,83,82,63
22,9,145,91,93
11,122,60,59,108
75,34,61,90,100
59,82,64,85,70
83,61,63,77,76
33,71,102,46,108
83,70,48,86,73
59,87,53,73,88
24,126,57,34,119
19,135,57,105,44
23,123,12,112,90
98,34,75,68,85
84,80,72,73,51
133,11,83,93,40
18,105,29,73,135
5,102,55,99,99
99,24,86,62,89
104,67,57,68,64
48,68,71,76,97
74,61,63,64,98
75,113,33,89,50
15,135,107,17,86
7,189,8,148,8
52,65,82,77,84
74,72,90,75,49
54,81,62,74,89
116,23,58,127,36
59,81,61,70,89
80,34,96,76,74
70,74,72,70,74
70,78,60,66,86
69,86,79,64,62
77,37,75,60,111
74,68,75,68,75
74,86,41,94,65
68,131,7,61,93
134,7,81,41,97
84,57,76,77,66
11,66,60,72,151
119,8,84,143,6
31,113,91,32,93
60,68,76,52,104
77,85,56,63,79
74,75,37,83,91
54,62,84,53,107
60,48,76,66,110
30,5,142,5,178
45,105,58,89,63
85,55,97,63,60
70,73,63,66,88
59,72,76,82,71
76,59,61,61,103
14,173,57,14,102
35,87,57,92,89
82,79,51,78,70
68,83,73,74,62
49,62,63,87,99
8,132,7,116,97
34,112,64,51,99
104,61,80,87,28
74,53,95,56,82
107,55,58,83,57
102,27,113,49,69
31,6,19,29,275
99,6,64,60,131
92,50,80,80,58
61,83,63,69,84
78,53,127,51,51
53,29,148,50,80
57,43,85,64,111
58,69,77,67,89
87,5,77,108,83
79,74,63,78,66
86,49,94,47,84
68,46,98,64,84
6,69,145,23,117
59,116,44,123,18
47,77,74,53,109
208,17,57,43,35
101,35,94,48,82
77,65,71,78,69
32,146,32,59,91
5,188,7,123,37
72,83,84,63,58
76,66,82,58,78
15,40,40,33,232
64,70,87,68,71
94,22,57,62,125
9,181,6,159,5
122,8,73,101,56
80,82,74,61,63
111,5,89,53,102
44,23,100,81,112
70,78,68,77,67
78,68,75,82,57
8,6,176,6,164
