Frnd,Priv,Saf,Ind,Res
17,35,162,25,121
86,67,58,68,81
59,81,64,59,97
43,57,130,30,100
96,74,78,66,46
22,32,79,74,153
104,45,76,31,104
62,125,39,101,33
71,84,68,65,72
64,64,59,83,90
77,60,66,86,71
86,80,66,58,70
69,57,90,47,97
22,64,69,105,100
18,61,107,51,123
136,46,44,55,79
61,71,80,82,66
71,84,105,46,54
31,67,53,68,141
113,32,60,82,73
19,84,63,177,17
72,76,67,69,76
81,57,78,76,68
69,78,69,71,73
36,115,34,60,115
63,73,76,57,91
45,112,49,84,70
92,32,79,85,72
149,18,66,89,38
10,14,10,14,312
129,35,83,84,29
80,87,65,70,58
134,24,40,76,86
65,67,81,51,96
57,85,75,57,86
58,59,83,84,76
9,34,67,66,184
69,76,63,61,91
87,64,82,81,46
39,34,54,124,109
91,90,95,37,47
135,20,74,86,45
92,51,61,98,58
65,99,37,126,33
106,58,81,43,72
26,67,82,89,96
84,129,21,98,28
109,130,8,106,7
30,99,93,46,92
87,75,84,57,57
57,66,59,84,94
81,43,84,64,88
42,69,73,86,90
6,44,74,96,140
78,63,87,112,20
28,84,33,187,28
54,64,89,69,84
58,63,57,78,104
87,139,8,119,7
68,59,59,66,108
80,103,26,50,101
46,73,63,105,73
58,82,68,73,79
41,79,68,76,96
78,84,42,85,71
9,7,228,7,109
97,76,98,29,60
62,8,89,89,112
59,83,61,68,89
61,97,96,41,65
69,75,80,58,78
76,7,70,71,136
65,68,61,68,98
43,38,73,81,125
126,29,63,65,77
73,6,118,89,74
84,45,94,86,51
83,80,63,62,72
61,62,70,66,101
38,61,127,53,81
82,79,67,123,9
58,105,57,90,50
136,34,60,80,50
58,82,73,86,61
99,56,96,58,51
64,85,75,61,75
92,75,94,37,62
69,66,86,63,76
77,18,115,44,106
71,70,83,86,50
121,8,58,75,98
8,193,84,8,67
9,96,33,134,88
57,73,59,61,110
54,115,29,80,82
54,115,29,80,82
57,65,99,46,93
107,57,115,37,44
6,137,115,7,95
16,148,54,85,57
75,62,86,84,53
57,62,81,83,77
61,80,68,73,78
76,75,64,63,82
33,88,50,75,114
75,57,64,68,96
113,20,118,81,28
83,78,73,66,60
9,87,95,80,89
34,63,137,32,94
64,95,48,87,66
177,27,43,39,74
70,72,81,57,80
84,83,96,42,55
45,70,93,76,76
83,103,37,57,80
46,48,117,38,111
97,50,87,55,71
45,67,126,39,83
26,28,114,44,148
59,65,72,134,30
84,68,69,58,81
5,82,66,99,108
122,51,63,56,68
138,8,132,9,73
24,80,37,96,123
87,34,101,43,95
39,83,84,66,88
151,25,91,20,73
70,81,67,77,65
78,65,86,72,59
78,65,86,72,59
25,103,38,89,105
9,141,9,107,94
93,9,147,31,80
82,59,121,7,91
92,78,7,127,56
111,47,48,45,109
114,114,23,47,62
43,83,43,53,138
46,116,102,16,80
62,50,67,53,128
94,36,70,114,46
71,96,51,95,47
88,13,152,7,100
74,99,27,116,44
59,57,101,53,90
19,17,151,25,148
124,127,7,57,45
57,69,70,70,94
7,71,65,60,157
48,72,70,97,73
47,59,115,46,93
117,22,76,71,74
47,117,87,34,75
84,63,83,64,66
96,62,74,83,45
112,5,61,140,42
85,46,73,72,84
37,44,64,120,95
57,58,14,129,102
92,31,75,79,83
137,72,16,63,72
40,139,29,105,47
39,105,48,71,97
96,36,59,81,88
11,186,13,69,81
92,28,82,108,50
117,34,74,59,76
96,70,45,62,87
8,44,6,110,192
80,78,73,70,59
81,68,33,92,86
95,63,44,86,72
75,79,66,76,64
67,128,28,105,32
6,78,7,92,177
65,115,53,77,50
90,81,47,102,40
59,72,65,89,75
66,60,68,72,94
55,76,70,60,99
73,59,83,78,67
28,101,20,74,137
34,41,119,84,82
34,61,87,96,82
84,61,63,57,95
51,79,77,58,95
40,27,61,109,123
104,63,64,71,58
52,70,70,90,78
56,63,71,88,82
65,67,60,68,100
72,101,55,96,36
41,64,63,94,98
84,75,63,57,81
102,19,75,38,126
76,73,86,57,68
73,73,69,80,65
72,87,86,61,54
76,5,131,53,95
32,82,109,41,96
78,75,59,72,76
110,56,70,71,53
125,97,29,26,83
86,70,63,58,83
76,116,52,78,38
64,53,82,69,92
75,78,95,44,68
75,43,99,55,88
61,62,59,81,97
74,59,107,57,63
134,105,25,60,36
82,70,80,62,66
30,52,60,112,106
83,72,68,76,61
51,136,29,120,24
59,112,74,64,51
28,80,94,51,107
115,50,55,72,68
51,89,80,75,65
122,9,129,77,23
137,11,76,117,19
172,17,14,136,21
26,100,115,46,73
54,107,16,142,41
5,128,21,111,95
58,90,54,78,80
76,52,80,69,83
76,58,84,66,76
111,9,90,73,77
43,20,160,28,109
67,58,101,49,85
30,85,39,79,127
82,77,72,78,51
117,35,85,59,64
72,85,74,63,66
103,24,82,91,60
73,96,57,79,55
10,18,169,8,155
78,78,82,65,57
31,71,82,64,112
61,71,109,25,94
16,70,85,101,88
57,77,90,47,89
99,55,56,64,86
67,76,47,75,95
67,112,44,76,61
82,70,120,39,49
103,33,50,73,101
35,82,80,67,96
8,262,6,50,34
81,74,51,78,76
44,66,144,25,81
77,85,82,69,47
60,70,61,72,97
77,59,61,57,106
90,77,65,58,70
60,83,44,82,91
150,32,57,50,71
67,57,70,99,67
38,78,72,71,101
8,82,65,105,100
161,103,35,34,27
78,72,56,78,76
91,73,70,87,39
97,78,66,83,36
10,91,6,8,245
80,69,66,83,62
59,61,82,68,90
41,92,53,99,75
81,83,118,27,51
44,31,115,43,127
129,22,64,67,78
109,40,80,46,85
45,92,48,87,88
